statename,scode,1960,1961 [YR1961],1961 [YR1961],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Congo, Dem. Rep.",COD,1038.93,903.13,1067.06,1094.01,1039.41,1021.61,1060.77,1020.79,1034.88,1099.68,1066.77,1100.42,1073.00,1129.87,1134.30,1048.55,965.20,944.92,869.07,848.75,844.50,842.57,818.23,809.72,833.58,816.14,832.28,831.65,812.00,777.26,702.13,619.80,533.53,444.05,411.49,401.19,386.11,355.53,341.78,319.56,289.99,276.14,276.06,282.65,292.35,300.56,306.53,315.26,324.04,322.42,334.02,345.27,357.60,375.22,397.34,411.02,407.29,408.92,418.74
"Congo, Rep.",COG,1456.63,1540.66,1581.21,1479.58,1496.86,1511.54,1491.56,1482.21,1551.78,1622.64,1677.22,1755.63,1851.85,1946.01,2038.37,2132.23,2089.62,1847.82,1908.95,2036.14,2326.45,2657.60,3190.20,3280.25,3409.71,3275.28,2966.71,2891.62,2863.38,2858.78,2809.48,2798.91,2793.99,2691.05,2473.21,2500.35,2534.36,2446.97,2465.87,2333.58,2438.95,2460.47,2501.34,2450.24,2460.64,2569.28,2640.32,2510.74,2561.19,2663.58,2809.69,2825.73,2858.09,2884.44,3005.74,3009.60,2851.98,2693.43,2651.70
Costa Rica,CRI,2911.06,2857.54,2903.43,2992.62,2994.57,3132.25,3244.14,3323.11,3499.57,3588.68,3754.57,3906.14,4121.06,4331.05,4459.90,4440.61,4566.80,4845.06,5013.86,5122.37,5023.74,4778.92,4311.76,4316.05,4537.77,4449.45,4572.92,4666.89,4703.04,4841.83,4884.60,4866.33,5177.35,5403.27,5504.48,5591.20,5525.10,5696.77,5957.30,6062.26,6172.41,6274.32,6375.20,6545.74,6730.83,6892.92,7289.90,7779.33,8034.33,7854.95,8141.91,8390.48,8689.97,8785.74,8993.53,9219.39,9509.74,9732.27,9892.64
Cote d'Ivoire,CIV,1224.33,1298.50,1265.90,1394.65,1578.74,1473.39,1585.14,1599.49,1735.66,1829.67,1938.51,2031.57,2023.72,2046.49,2037.46,2105.48,2270.65,2328.35,2468.61,2417.33,2059.28,2039.94,1957.45,1802.95,1683.35,1690.28,1679.49,1612.48,1572.51,1561.49,1489.67,1437.53,1383.65,1333.20,1298.64,1345.68,1403.69,1411.44,1437.45,1420.32,1355.26,1324.84,1274.13,1230.52,1219.97,1215.00,1207.09,1201.72,1204.98,1216.02,1211.93,1131.44,1222.44,1298.54,1377.80,1462.28,1539.32,1616.17,1692.54
Croatia,HRV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8563.04,9191.21,9849.94,10039.50,9988.65,10468.23,11254.45,11838.71,12495.90,12981.43,13497.52,14151.23,14902.19,15207.47,14113.44,13937.14,13937.77,13658.80,13629.54,13673.19,14117.29,14718.93,15331.90,15870.28
Cuba,CUB,..,..,..,..,..,..,..,..,..,..,2249.75,2400.02,2472.02,2514.17,2500.21,2700.78,2815.26,3031.28,3205.34,3218.11,3043.83,3624.92,3931.74,4127.49,4432.43,4473.65,4440.10,4290.16,4401.69,4386.71,4220.00,3741.74,3289.06,2785.97,2793.22,2848.77,3057.74,3128.43,3119.51,3298.83,3480.83,3579.40,3619.06,3746.44,3955.17,4393.83,4924.13,5286.48,5511.05,5596.14,5730.35,5885.25,6051.69,6203.84,6255.43,6522.74,6550.27,6664.66,..
Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7353.17,8915.35,10372.83,11138.17,12146.66,12706.70,12812.01,13423.72,14056.66,15090.91,15636.48,16030.74,16977.72,18251.19,19422.82,20421.15,20046.47,21355.08,20991.48,21774.92,23194.51,23112.75,23389.24,24516.08,25454.95,26688.03,27445.46,28142.86,28532.25,29568.20,30559.85,31470.92,32378.57,32727.14,31218.21,30818.48,30163.31,28852.20,27242.23,27182.50,27874.16,29081.82,30100.16,30926.45
Czech Republic,CZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13988.66,12393.60,12318.22,12313.04,12666.69,13462.99,14047.84,13979.36,13946.62,14160.91,14806.58,15294.63,15577.39,16143.26,16930.19,18011.39,19193.75,20151.18,20520.78,19424.27,19808.07,20118.59,19929.76,19826.79,20343.68,21381.70,21863.64,22754.75,23358.87
Denmark,DNK,21075.60,22264.00,23343.23,23307.61,25265.48,26211.34,26714.38,27411.47,28328.07,29953.01,30541.93,31241.86,32284.28,33403.13,32874.79,32302.67,34130.58,34660.81,35322.58,36599.24,36378.21,36146.15,37505.53,38505.63,40130.84,41720.67,43708.24,43763.91,43736.69,43992.48,44569.01,45073.02,45803.39,45655.92,47928.38,49122.87,50262.23,51685.99,52640.95,54013.79,55850.63,56108.96,56190.81,56256.76,57608.74,58792.66,60892.77,61174.54,60504.78,57229.04,58041.40,58575.61,58487.79,58788.08,59437.95,60402.13,61370.78,62356.74,62931.24
Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1343.27,..,..,..,..,..,..,..,..
Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2618.87,2861.89,2315.55,2612.93,2896.09,3027.93,3127.02,3286.13,3362.42,3633.41,3899.74,4242.01,4262.93,4513.33,4577.02,4658.68,4740.12,4727.59,4867.07,5029.65,5164.10,5390.59,5436.83,5578.81,5574.42,5403.08,5724.80,5875.81,5897.02,6160.49,6544.79,7007.66,6923.34,6967.25,6947.94,6869.63,6822.98,7115.52,6924.49,7086.78,6397.83,6416.92
Dominican Republic,DOM,1326.83,1253.50,1419.38,1463.02,1512.51,1282.54,1410.82,1414.17,1376.01,1482.07,1702.90,1836.01,1972.19,2167.71,2238.37,2294.91,2388.43,2446.34,2439.13,2490.22,2627.45,2678.98,2665.28,2729.31,2705.85,2594.14,2631.47,2840.46,2845.25,2913.39,2702.12,2676.27,2921.15,3078.88,3102.51,3222.07,3357.35,3596.13,3776.85,3939.40,4060.73,4099.02,4221.23,4105.45,4152.72,4482.90,4829.71,5121.12,5218.87,5202.97,5568.05,5673.41,5758.51,5968.74,6350.60,6720.24,7084.63,7325.81,7750.93
Ecuador,ECU,2238.01,2287.01,2332.14,2314.00,2414.72,2422.41,2344.68,2382.18,2357.52,2396.48,2487.73,2568.92,2621.47,2903.42,3139.42,3388.72,3541.44,3502.79,3605.69,3643.40,3681.51,3789.28,3716.58,3611.63,3614.72,3664.69,3699.30,3600.64,3721.59,3670.12,3716.27,3786.35,3778.50,3766.82,3840.83,3842.60,3826.31,3908.98,3954.94,3693.71,3663.66,3741.87,3827.36,3865.05,4112.67,4258.42,4372.09,4393.72,4596.15,4547.51,4633.59,4921.85,5122.18,5295.68,5412.13,5330.54,5176.06,5205.76,5185.09
"Egypt, Arab Rep.",EGY,578.35,591.90,598.52,644.08,699.46,714.83,731.56,718.61,689.32,708.03,730.11,742.56,748.49,758.07,753.31,802.75,889.20,947.46,1005.62,1026.69,1102.31,1154.23,1236.85,1266.79,1354.30,1395.21,1422.60,1437.65,1476.20,1509.57,1556.87,1539.02,1573.82,1586.64,1616.87,1658.32,1706.35,1764.27,1825.83,1898.64,1980.97,2012.38,2022.07,2048.22,2093.35,2147.82,2254.51,2372.38,2497.34,2565.77,2644.82,2635.19,2634.85,2632.06,2648.29,2703.74,2761.39,2817.32,2907.32
El Salvador,SLV,..,..,..,..,..,2357.59,2455.37,2517.46,2528.59,2547.07,2554.18,2584.48,2673.62,2735.03,2812.87,2829.30,2907.21,3039.24,3137.22,2949.80,2557.22,2253.05,2079.38,2081.56,2080.77,2065.71,2042.51,2066.91,2078.75,2071.58,2143.04,2145.70,2264.86,2364.29,2443.37,2528.75,2521.94,2575.50,2620.38,2655.43,2665.68,2671.34,2697.59,2725.13,2735.84,2796.76,2905.13,2946.38,2996.32,2921.54,2983.23,3083.74,3156.62,3212.70,3252.59,3314.70,3381.23,3441.95,3511.36
Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,659.48,659.42,625.97,607.02,569.99,605.96,564.72,568.28,565.68,542.70,517.17,495.73,646.44,693.92,781.77,885.81,1420.98,3415.63,4060.90,4898.90,5557.96,8714.23,9987.81,10912.88,14423.50,16107.16,16575.08,18243.24,20512.94,19848.71,17272.01,17593.14,18236.31,16748.09,16130.34,14080.08,12346.26,11331.15,10602.29
Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,522.43,597.74,731.19,756.94,829.94,896.10,907.34,894.90,845.98,888.16,875.64,813.09,788.86,778.58,746.84,737.70,651.13,663.99,667.74,715.87,..,..,..,..,..,..,..
Estonia,EST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7313.74,7817.60,8840.26,9293.08,9186.39,10108.21,10816.60,11546.77,12481.19,13346.40,14681.23,16285.01,17627.03,16716.50,14282.60,14638.60,15798.63,16538.21,16918.59,17453.00,17773.01,18387.77,19257.48,19948.92
Eswatini,SWZ,..,..,..,..,..,..,..,..,..,..,1225.81,1354.33,1386.98,1468.63,1507.52,1665.60,1580.23,1546.22,1516.76,1512.93,1644.72,1821.92,1780.56,1740.34,1784.30,1788.81,1940.17,2149.19,2215.99,2424.58,2848.86,2820.66,2838.69,2858.57,2862.97,2938.89,2991.55,3027.01,3053.56,3098.80,3117.82,3125.29,3244.74,3358.31,3468.19,3660.93,3859.65,4005.48,4010.34,4044.13,4168.51,4233.58,4403.51,4653.70,4708.12,4687.91,4795.79,4838.84,4820.02
Ethiopia,ETH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,228.64,224.43,235.61,221.74,190.83,202.72,223.55,217.51,209.63,208.08,186.52,164.34,179.40,178.80,183.55,199.92,200.03,187.52,191.57,197.43,207.75,204.94,194.87,215.15,233.94,252.21,273.49,294.81,312.03,341.55,369.20,389.94,419.18,449.42,482.64,514.06,548.12,570.31
Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48530.23,..,..,..,..,..,..,..,..
Fiji,FJI,1773.78,1774.10,1775.23,1824.81,1853.28,1751.06,1705.35,1887.18,1991.85,2000.41,2207.49,2310.41,2432.08,2659.19,2673.94,2635.85,2657.60,2763.98,2764.26,3041.29,2927.89,3038.08,2782.68,2605.36,2763.61,2594.29,2768.65,2574.24,2594.72,2781.33,2926.57,2821.12,2956.75,2977.75,3086.10,3123.21,3235.73,3131.21,3142.50,3392.98,3315.95,3370.14,3472.31,3503.51,3681.15,3690.02,3729.93,3661.41,3659.09,3573.39,3652.53,3735.56,3781.18,3957.73,4175.42,4359.22,4455.19,4658.93,4858.52
Finland,FIN,12195.33,13030.46,13328.08,13668.94,14305.21,15013.66,15312.41,15560.02,15847.10,17377.44,18373.79,18783.13,20116.01,21399.00,21976.23,22273.79,22283.23,22274.20,22858.81,24424.30,25660.59,25882.21,26532.21,27197.71,27922.28,28789.49,29478.43,30441.13,31934.11,33437.88,33514.92,31360.95,30148.44,29782.54,30822.61,31997.00,33059.10,35021.59,36824.85,38372.22,40450.37,41399.94,41993.69,42729.02,44277.84,45353.26,47011.66,49239.19,49363.70,45065.75,46202.42,47171.02,46277.56,45715.65,45239.37,45316.35,46438.82,47739.94,48444.74
France,FRA,13044.93,13582.91,14288.25,14842.29,15601.67,16154.37,16823.67,17457.85,18059.22,19176.89,19984.59,20880.89,21648.55,22842.67,23654.18,23279.81,24164.73,24888.18,25772.30,26577.75,26877.72,27033.33,27567.08,27757.29,28020.46,28315.83,28814.17,29383.96,30604.40,31761.25,32524.06,32683.35,33041.36,32691.68,33338.34,33917.93,34275.61,34952.52,36073.64,37116.41,38309.44,38786.09,38942.28,38985.54,39794.64,40152.69,40850.36,41582.80,41456.48,40058.68,40638.33,41329.04,41258.27,41282.99,41478.25,41765.24,42054.53,43001.59,43663.58
French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,4362.14,4958.07,5270.23,5523.33,5694.41,6071.02,6230.79,6359.03,6383.68,6757.77,7198.88,7788.08,8513.79,9211.80,12609.95,14732.86,19562.59,16725.60,12412.81,12177.65,12186.96,12492.01,11800.29,12142.11,12712.49,12085.77,11665.12,9401.57,10318.73,10894.43,11148.97,11511.65,10857.76,10988.17,11099.96,11354.66,11470.16,11826.75,11937.64,10608.44,10160.34,10132.77,9869.72,9849.64,9669.64,9666.00,9134.56,9404.41,8818.02,8545.95,8840.73,9127.71,9249.86,9409.04,9467.36,9512.01,9419.86,9203.99,9077.01
"Gambia, The",GMB,..,..,..,..,..,..,414.93,404.09,430.70,428.84,442.31,429.35,417.88,443.03,454.90,495.44,514.86,515.07,529.45,505.28,519.70,520.36,500.75,537.73,537.18,511.61,508.73,496.21,493.25,498.26,494.41,490.73,490.13,489.00,474.83,464.43,460.28,468.18,469.85,484.65,495.56,507.97,476.00,492.68,510.99,490.69,481.34,484.09,496.87,513.42,530.79,492.89,504.95,513.31,493.33,506.80,493.88,501.28,518.85
Georgia,GEO,..,..,..,..,..,1780.42,1892.81,1991.48,2061.45,2139.83,2374.68,2408.16,2451.57,2587.61,2791.19,2975.17,3133.90,3327.28,3553.66,3787.58,3927.66,4100.77,4147.59,4288.16,4482.44,4662.88,4243.82,4262.89,4455.38,4123.96,3515.05,2753.93,1505.71,1056.39,961.21,1023.96,1180.73,1347.47,1424.11,1495.42,1552.82,1652.88,1759.07,1966.84,2093.73,2309.14,2541.06,2875.66,2954.17,2871.72,3073.52,3322.02,3559.12,3690.75,3859.58,3964.51,4074.93,4271.28,4469.18
Germany,DEU,..,..,..,..,..,..,..,..,..,..,19624.75,20202.43,20970.63,21903.40,22089.75,21980.09,23167.06,23996.77,24740.24,25755.66,26064.39,26162.45,26083.95,26563.64,27408.10,28108.89,28738.68,29096.91,30057.94,30988.59,32337.10,33742.22,34130.85,33583.01,34289.12,34782.57,34965.69,35560.21,36258.67,36955.29,37998.43,38577.73,38512.92,38218.35,38673.89,38969.32,40456.86,41831.87,42365.10,40086.10,41785.56,44125.33,44259.26,44354.74,45132.27,45521.32,46167.83,46987.79,47501.81
Ghana,GHA,1055.99,1058.22,1066.86,1079.06,1070.01,1054.53,983.95,990.34,971.43,1005.81,1076.39,1102.53,1045.23,1045.49,1087.85,930.02,878.43,881.44,938.56,896.75,880.54,827.82,748.83,693.46,730.83,745.34,761.38,775.10,795.53,812.32,815.51,834.07,841.75,857.72,861.69,873.28,890.01,904.24,923.63,940.93,952.14,966.26,985.33,1011.40,1041.83,1075.87,1115.85,1134.70,1206.99,1233.68,1298.44,1445.36,1542.69,1617.47,1626.62,1624.77,1643.45,1738.25,1807.06
Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,GRC,6779.89,7476.30,7545.86,8279.94,8931.28,9724.57,10241.81,10715.59,11355.57,12434.23,13392.31,14379.90,15738.28,16934.80,15786.27,16634.47,17500.31,17782.12,18825.09,19202.06,19143.12,18677.48,18352.44,18049.18,18320.58,18707.57,18742.32,18257.80,18971.64,19590.07,19383.93,19746.38,19733.29,19303.67,19591.40,19909.53,20389.32,21198.79,21902.74,22489.32,23275.44,24111.42,24965.59,26349.28,27614.41,27698.51,29176.39,30054.89,29874.74,28514.81,26917.76,24495.71,22830.53,22251.26,22565.68,22615.39,22666.29,23052.99,23558.08
Greenland,GRL,..,..,..,..,..,..,..,..,..,..,15656.47,17401.32,18055.46,19008.83,19890.56,19978.73,21126.72,23130.20,24621.56,25610.10,27499.38,27248.10,25790.97,26375.34,24724.46,25387.61,27036.99,28211.92,29412.24,31087.32,27295.95,27314.11,26011.63,24748.53,26073.03,26899.80,27262.41,27613.48,29702.69,30111.96,32193.00,32514.76,32051.67,33379.58,35593.43,37352.89,39539.92,40626.78,43305.70,43684.59,43988.33,43781.46,44454.37,44131.25,46362.59,45335.61,47974.07,48460.75,..
Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2944.47,3140.95,3335.66,3301.73,3294.11,3337.33,3354.21,3387.20,3536.98,3782.17,4157.58,4338.34,4557.35,4769.40,4829.01,4753.17,4609.54,4634.67,4689.19,4862.73,5078.16,5649.77,6015.28,6284.70,6132.69,6319.93,6893.37,6826.29,7709.15,7382.16,7815.07,7869.22,7325.67,7257.76,7274.72,7147.19,7266.29,7747.50,8194.24,8449.31,8827.70,9205.65
Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27723.46,27882.71,29603.77,30592.16,29375.28,29578.39,30054.01,30112.63,30700.43,30690.44,31252.66,31741.52,32169.56,32182.89,32046.04,31847.65,..
Guatemala,GTM,1461.76,1480.51,1488.88,1584.35,1610.43,1632.64,1673.35,1692.38,1788.40,1820.37,1870.79,1921.02,2005.99,2084.87,2159.70,2145.33,2246.04,2361.92,2419.71,2472.35,2502.86,2457.30,2312.23,2197.46,2154.71,2090.34,2044.08,2067.40,2098.45,2131.08,2146.59,2173.63,2225.92,2259.76,2296.93,2355.89,2371.31,2420.03,2484.76,2522.86,2554.78,2554.26,2591.33,2594.92,2614.71,2638.29,2717.76,2825.13,2854.06,2806.98,2825.52,2880.43,2903.44,2948.05,3007.96,3069.04,3100.87,3123.94,3160.01
Guinea,GIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,513.11,514.34,530.23,534.91,541.81,540.43,543.06,555.47,562.52,573.18,583.18,597.52,603.64,611.56,612.72,621.83,641.07,636.69,638.99,644.86,638.60,667.10,678.95,656.16,672.42,694.60,719.71,731.49,741.05,750.40,809.96,893.13,943.36
Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,492.27,464.18,484.22,480.64,494.93,527.96,550.87,510.50,577.21,586.76,488.77,568.74,580.49,547.39,582.47,592.21,574.10,577.66,591.09,613.51,636.60,654.13,646.53,645.51,651.85,666.46,729.06,761.58,537.21,532.23,549.82,550.04,532.75,523.73,525.82,535.44,534.82,538.99,542.65,546.95,557.63,587.14,561.99,565.05,555.61,574.49,594.98,614.44,622.08
Guyana,GUY,1698.55,1725.53,1695.64,1448.52,1574.46,1702.99,1757.98,1803.02,1794.22,1893.23,1948.07,1984.08,1896.30,1898.94,2023.23,2171.34,2180.56,2099.85,2041.30,1988.01,2012.37,2038.35,1770.59,1655.19,1579.52,1627.47,1625.45,1655.22,1608.54,1539.82,1497.16,1585.37,1698.94,1824.33,1967.59,2060.08,2225.42,2371.78,2344.92,2427.55,2403.93,2463.71,2493.01,2476.07,2512.78,2462.35,2588.03,2769.22,2822.66,2919.40,3033.25,3179.87,3332.71,3481.45,3595.99,3690.12,3793.04,3852.69,3965.97
Haiti,HTI,1018.21,969.36,1025.72,987.01,952.19,954.25,930.70,893.71,904.86,922.21,911.82,954.39,947.75,976.41,1015.28,1008.37,1073.02,1091.16,1135.45,1195.59,1255.79,1192.45,1123.33,1107.04,1084.73,1066.73,1038.27,1008.22,989.39,941.13,931.96,930.88,864.49,802.10,693.09,747.71,764.57,771.22,774.17,781.36,774.67,753.67,739.30,729.82,692.67,693.80,698.06,709.96,704.73,715.23,665.63,691.89,701.40,720.57,730.40,729.12,729.86,728.84,730.30
Honduras,HND,1088.40,1078.05,1108.86,1116.93,1144.72,1213.07,1241.85,1278.17,1322.97,1292.87,1300.73,1313.31,1348.51,1412.07,1353.59,1341.21,1437.43,1538.57,1580.73,1618.60,1578.88,1512.45,1436.49,1406.11,1450.62,1487.03,1520.45,1574.29,1555.60,1552.34,1550.40,1456.82,1502.25,1555.43,1515.31,1563.99,1548.28,1573.70,1584.41,1529.30,1596.55,1596.93,1614.48,1645.84,1706.00,1766.53,1839.31,1909.56,1947.36,1860.42,1891.16,1925.91,1968.28,1986.94,2011.78,2052.97,2096.57,2160.09,2203.95
"Hong Kong SAR, China",HKG,..,3380.64,3703.51,4142.31,4392.23,4904.77,4948.79,4902.67,4962.73,5438.16,5796.18,6086.21,6604.23,7208.92,7153.34,7053.52,8091.40,8910.60,9473.48,10006.19,10727.36,11448.77,11604.91,12113.10,13190.92,13148.78,14421.73,16190.21,17421.22,17634.26,18251.02,19132.38,20155.34,21040.65,21813.84,21893.80,21835.13,22758.39,21241.53,21567.00,23015.98,22975.12,23252.53,24010.54,25896.71,27688.78,29446.28,31081.59,31553.64,30711.48,32550.00,33888.49,34086.31,35002.51,35717.67,36260.57,36820.98,37949.31,38784.76
Hungary,HUN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8856.05,8588.05,8548.31,8812.30,8956.02,8972.69,9291.09,9707.21,10044.98,10495.02,10923.10,11450.28,11925.07,12549.67,13126.46,13653.22,13732.15,13873.32,12977.64,13092.23,13347.02,13197.26,13510.72,14119.48,14653.62,15032.14,15695.70,16503.47
Iceland,ISL,11700.55,11465.03,12190.17,13206.58,14260.43,15048.65,16088.52,15630.40,14573.96,14782.03,16580.07,18594.59,19456.34,20469.30,21346.57,21211.49,22253.51,24037.17,25285.29,26256.13,27472.85,28319.71,28545.77,27564.32,28398.81,29103.79,30703.01,32963.72,32422.34,32106.06,32229.88,31787.24,30331.21,30418.72,31244.47,31111.67,32359.27,33247.15,35226.96,36210.67,37465.45,38412.14,38330.13,38928.99,41692.10,43635.02,44859.83,47835.38,47889.39,44491.74,43024.92,43700.79,44032.42,45420.99,45852.91,47405.04,50188.50,51281.99,52103.17
India,IND,330.21,335.72,338.61,351.60,370.06,352.89,345.42,364.75,369.22,384.98,396.01,393.53,382.45,385.97,381.54,406.89,404.24,423.74,437.82,405.47,422.90,438.01,442.80,464.18,470.97,484.64,496.64,505.18,542.05,562.30,581.22,575.50,595.01,611.12,639.27,674.62,711.93,727.04,757.93,810.22,826.59,851.62,869.20,922.17,979.28,1040.31,1106.93,1173.88,1192.51,1268.25,1357.56,1410.43,1469.18,1544.62,1640.18,1751.66,1874.23,1987.34,2104.16
Indonesia,IDN,690.37,710.98,705.14,671.25,676.56,665.66,665.93,657.01,709.20,737.39,772.13,804.72,839.03,883.78,927.20,949.08,989.55,1050.29,1094.70,1147.24,1231.20,1298.07,1296.90,1320.99,1382.39,1386.73,1438.63,1480.23,1536.51,1621.12,1707.82,1794.42,1878.97,1968.42,2083.36,2220.08,2358.12,2433.34,2084.14,2071.52,2143.66,2191.57,2259.31,2335.59,2420.40,2524.22,2627.91,2757.89,2885.31,2979.00,3122.36,3270.62,3421.27,3563.30,3692.97,3824.27,3968.06,4120.43,4284.65
"Iran, Islamic Rep.",IRN,2980.58,3237.91,3426.01,3580.72,3808.98,4349.04,4711.46,5120.97,5723.82,6483.11,7014.97,7816.10,8706.81,9198.42,9524.60,9026.30,10266.86,9546.96,7941.23,6862.72,4791.81,4368.63,5335.78,5558.01,4865.04,4773.00,4119.41,3989.53,3640.31,3736.67,4137.06,4543.54,4584.80,4559.30,4426.14,4464.40,4631.12,4591.43,4630.14,4610.01,4818.90,4796.08,5080.64,5456.45,5626.72,5738.70,5957.95,6373.25,6319.77,6313.04,6603.21,6698.68,6125.73,6038.53,6236.29,6073.45,6794.29,6952.44,..
Iraq,IRQ,..,..,..,..,..,..,..,..,1454.59,1450.87,1465.97,1493.87,1499.40,1515.44,1703.45,1855.13,2104.57,2076.86,2355.76,2761.82,3345.99,3229.19,3250.20,2752.22,2644.46,2619.88,2680.65,2867.49,2805.64,2656.95,4091.03,1432.17,1845.98,2335.04,2352.54,2329.68,2507.56,2947.03,3853.01,4393.81,4323.73,4293.56,3881.26,2524.38,3792.54,3869.95,4181.40,4168.67,4436.25,4493.18,4657.28,4848.44,5322.39,5508.04,5344.33,5298.10,5846.51,5604.57,5510.76
Ireland,IRL,..,..,..,..,..,..,..,..,..,..,12745.36,13034.22,13675.36,14093.17,14452.15,15020.47,15001.86,16015.35,16924.49,17213.71,17540.75,17913.02,18149.65,17977.41,18644.32,19188.87,19098.00,19986.48,21119.39,22435.98,24315.00,24642.11,25292.81,25844.34,27224.37,29694.65,31644.89,34745.18,37373.13,40835.69,44101.11,45695.59,47591.89,48236.96,50546.49,52276.24,53466.07,54708.07,51202.36,48110.55,48715.18,48669.79,48573.38,48971.37,52774.50,65432.73,67077.74,71755.97,76880.81
Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18519.20,18460.51,21677.23,23366.26,25570.61,26792.05,27504.43,27696.09,27788.00,28432.24,29474.43,30535.92,32554.93,34883.39,39018.39,43743.72,45515.96,47492.62,49885.13,52661.17,54956.46,57629.99,61319.19,64993.87,67152.22,67857.10,69766.52,71137.54,73720.51,77548.91,81902.31,81412.87,87381.79,..,..
Israel,ISR,8749.12,9413.30,9880.93,10542.37,10937.76,11522.74,11224.52,11072.16,12604.18,13945.85,13901.66,14946.60,16341.45,16570.23,17126.12,17282.31,16955.26,16751.49,17313.07,17921.58,17788.69,18369.12,18402.77,18678.05,18607.58,19020.33,19513.07,20571.29,20822.01,20589.41,21422.27,21729.76,22620.52,22933.97,24007.73,24919.08,25544.34,25893.69,26235.74,26390.56,27686.44,27057.55,26521.38,26290.62,26926.23,27500.16,28532.03,29645.96,29961.44,29594.41,30659.13,31593.04,31671.48,32374.33,32996.75,33179.94,33839.83,34333.36,34788.66
