statename,scode,1960,1961 [YR1961],1961 [YR1961],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Australia,AUS,19378.14,19468.65,19245.41,20053.22,21035.76,21861.74,21877.35,22964.51,23712.68,24857.37,26120.40,26263.25,26793.77,27076.90,27483.46,27513.61,27943.99,28624.92,28547.76,29382.80,29907.53,30419.25,30912.00,29849.91,30865.99,32045.06,32796.67,33127.10,34459.44,35192.20,35912.73,35317.47,35035.73,36092.62,37134.24,38095.10,39056.18,40153.60,41555.91,43168.29,44334.39,44585.17,45806.69,46595.90,47926.73,48813.88,49443.20,51024.21,51841.25,51767.35,52022.13,52567.75,53673.10,54137.19,54705.73,55183.74,55875.10,56228.81,56919.37
Austria,AUT,13031.03,13677.46,13953.95,14438.36,15220.82,15648.53,16416.01,16783.89,17443.70,18474.54,19573.87,20483.45,21628.97,22561.37,23410.89,23387.71,24501.75,25736.55,25703.14,27126.18,27595.83,27485.83,28018.54,28898.22,28914.86,29623.43,30285.93,30677.54,31643.81,32726.06,33889.00,34707.07,35045.84,34941.14,35643.03,36537.99,37346.01,38084.70,39405.42,40727.48,42001.21,42370.93,42859.33,43052.60,43956.58,44637.86,45951.73,47510.29,48053.48,46123.49,46858.04,48065.32,48172.24,47901.37,47842.75,47850.17,48300.95,49190.17,50250.05
Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3167.06,3096.45,2360.61,1787.94,1416.44,1235.00,1238.48,1297.73,1414.02,1505.39,1658.81,1808.96,1964.99,2149.23,2327.65,2948.21,3921.03,4863.98,5267.37,5642.53,5842.81,5676.45,5724.92,5981.54,6072.59,6063.73,5812.58,5739.59,5768.99
"Bahamas, The",BHS,17734.57,18673.83,19608.74,20609.00,21688.33,22863.65,23860.63,25081.94,26161.01,27535.28,25196.00,24941.41,23530.95,24802.55,20245.22,16903.50,17410.11,18599.82,20775.81,25633.19,26700.94,23704.43,24734.33,25066.21,28016.07,28786.22,28759.28,29099.70,29268.90,30706.56,29686.90,27923.97,26348.85,25938.54,26291.98,27018.34,27783.26,28022.68,29017.29,30723.98,31570.53,31910.51,32236.45,31272.84,30978.58,31442.28,31632.45,31485.49,30190.75,28440.07,28443.41,28248.85,28799.87,28401.70,28094.54,28117.06,27369.56,27484.38,..
Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21184.98,19295.59,17290.82,17906.02,18304.66,16926.46,16571.50,17663.54,18240.72,17702.49,17934.74,19407.63,20178.50,22218.04,21623.21,21910.32,22220.76,22281.76,22634.96,22761.13,22955.20,22416.21,22038.39,22058.85,22144.58,22066.17,21795.92,21837.48,21562.66,20796.18,20722.14,20516.65,20925.61,21805.98,22396.08,22436.27,22336.76,22126.67,21438.59
Bangladesh,BGD,372.03,383.78,393.63,380.96,410.57,404.79,402.30,382.21,405.53,398.95,411.18,380.95,322.33,328.07,353.76,332.89,343.95,344.44,359.09,366.24,359.46,375.43,373.55,378.09,386.06,388.64,394.34,398.59,397.76,398.85,411.16,415.71,428.66,439.23,446.65,459.61,470.27,481.12,495.63,508.39,524.95,541.29,551.90,568.14,588.33,617.54,649.93,687.32,720.36,748.30,781.15,822.19,865.75,907.26,951.31,1002.39,1062.04,1127.27,1203.22
Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10821.85,10551.12,10947.61,11284.63,11775.09,12646.48,13144.97,12845.42,12174.29,12202.23,12600.53,12698.42,13301.71,13594.48,14012.05,14461.92,13932.21,13337.50,12359.62,12463.79,12885.75,13093.97,13557.55,14139.94,14606.26,14593.44,15183.56,14769.01,14837.02,15107.71,15267.11,15814.32,16641.27,16860.56,16806.19,16072.01,16056.02,16112.67,16117.36,16085.02,16058.05,16174.91,16472.31,16611.64,..
Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3180.54,3140.83,2833.20,2612.00,2309.10,2075.65,2140.91,2395.11,2608.68,2708.74,2879.38,3030.95,3204.20,3453.96,3875.78,4269.17,4724.92,5154.87,5700.32,5724.47,6181.40,6525.85,6642.04,6707.62,6817.29,6545.78,6372.40,6536.01,6744.50
Belgium,BEL,13193.31,13804.20,14465.98,14983.04,15874.40,16291.02,16692.02,17241.45,17894.04,19026.43,20070.55,20832.53,21850.01,23171.38,24153.10,23609.94,24900.02,25025.01,25712.20,26290.50,27428.62,27352.73,27522.96,27610.98,28292.40,28751.16,29264.80,29914.32,31227.80,32193.99,33105.16,33586.96,33962.99,33505.17,34479.94,35228.35,35719.81,36955.63,37605.22,38856.07,40170.42,40357.37,40892.21,41036.73,42344.69,42994.36,43782.14,44960.80,44956.36,43591.26,44380.18,44594.30,44422.65,44302.48,44659.64,45174.01,45598.74,46211.23,46683.16
Belize,BLZ,1072.01,1093.12,1115.04,1137.82,1161.04,1183.27,1203.12,1224.77,1276.83,1306.02,1336.08,1359.92,1471.10,1524.13,1704.27,1739.63,1714.75,1801.60,1916.65,2026.60,2253.46,2226.33,2166.18,2060.96,2042.30,2005.76,2039.35,2196.72,2348.31,2589.57,2823.07,3087.84,3403.30,3556.52,3490.48,3423.30,3363.29,3358.10,3352.62,3513.51,3837.26,3907.31,3992.85,4251.12,4334.82,4332.26,4413.65,4347.60,4373.92,4293.66,4331.43,4320.95,4345.73,4284.95,4346.97,4401.89,4287.31,4263.65,4309.92
Benin,BEN,520.40,529.30,503.60,519.13,544.43,563.15,572.45,567.38,577.31,581.61,581.24,560.18,583.06,591.05,596.66,553.94,545.14,557.93,550.43,571.07,593.62,635.12,631.53,587.29,616.04,643.59,638.75,611.03,613.23,577.54,609.35,614.01,610.55,623.95,615.12,631.17,638.08,654.54,660.63,675.68,694.24,709.47,720.17,722.67,732.34,723.20,730.28,752.22,767.03,763.15,757.70,758.58,773.18,805.96,833.63,827.84,837.22,862.06,896.32
Bermuda,BMU,27838.39,28436.72,29006.58,28640.88,31041.95,31740.64,35659.16,39616.14,39686.96,40290.57,42055.03,43819.36,44942.92,45948.83,46699.10,48824.50,52988.75,55903.56,56504.09,57503.22,61083.45,62106.13,58400.28,59061.17,58826.95,57167.10,60463.91,62224.89,64196.23,63939.81,63429.28,61503.64,61913.78,63435.47,63374.77,65690.96,66969.93,69624.44,71810.38,73825.18,79988.35,84844.74,83048.80,85321.24,86733.37,87616.39,91944.87,94029.61,94903.19,89391.21,88207.33,86001.17,81547.86,79251.78,..,..,..,..,..
Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,405.94,449.97,453.59,492.39,501.18,507.90,550.38,685.94,698.62,732.38,798.85,789.89,826.41,845.87,888.92,946.95,987.01,1020.74,1056.84,1114.55,1165.33,1234.57,1339.54,1415.06,1472.75,1553.51,1638.02,1909.96,1980.96,2091.94,2312.86,2467.31,2561.83,2584.83,2699.82,2844.32,3035.66,3138.44,3172.77
Bolivia,BOL,1005.41,1006.59,1042.06,1091.04,1111.69,1142.89,1199.99,1249.68,1328.23,1358.66,1399.52,1439.01,1520.27,1572.74,1583.78,1662.48,1701.09,1746.45,1743.39,1708.17,1649.26,1619.79,1524.61,1433.77,1402.23,1350.75,1288.94,1293.29,1303.11,1324.16,1356.54,1398.12,1391.48,1420.74,1456.39,1493.42,1527.11,1570.82,1617.37,1592.74,1601.42,1597.64,1606.90,1620.26,1657.51,1700.18,1750.80,1799.50,1878.11,1909.08,1955.46,2024.12,2094.02,2201.40,2286.01,2361.06,2425.56,2490.96,2559.51
Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,700.75,870.26,1672.65,2264.93,2619.48,2864.03,3015.25,3144.29,3307.52,3437.28,3644.99,3963.07,4177.66,4425.38,4676.12,4557.96,4635.52,4736.59,4770.91,4969.04,5113.42,5352.40,5591.03,5827.69,6056.24
